"","MasVnrArea","MasVnrType","GarageType","GarageFinish","GarageQual","GarageCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","Electrical","MSZoning","Exterior1st","Exterior2nd","KitchenQual","SaleType","BsmtUnfSF","GarageCars","GarageArea","BsmtFinSF1","Id","LotArea","LotShape","Neighborhood","HouseStyle","OverallQual","YearBuilt","YearRemodAdd","ExterQual","Foundation","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","TotRmsAbvGrd","Fireplaces","PavedDrive","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","TotalPorchSF"
"1",196,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",150,2,548,706,1,8450,"Reg","CollgCr","2Story",7,2003,2003,"Gd","PConc","Ex","Y",856,854,1710,8,0,"Y","Normal",12.247694320221,2566,3.5,61
"2",0,"None","Attchd","RFn","TA","TA","Gd","TA","Gd","ALQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",284,2,460,978,2,9600,"Reg","Veenker","1Story",6,1976,1976,"TA","CBlock","Ex","Y",1262,0,1262,6,1,"Y","Normal",12.109010932687,2524,2,298
"3",162,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","Mn","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",434,2,608,486,3,11250,"IR1","CollgCr","2Story",7,2001,2002,"Gd","PConc","Ex","Y",920,866,1786,6,1,"Y","Normal",12.3171666930358,2706,3.5,42
"4",0,"None","Detchd","Unf","TA","TA","TA","Gd","No","ALQ","SBrkr","RL","Wd Sdng","Wd Shng","Gd","WD",540,3,642,216,4,9550,"IR1","Crawfor","2Story",7,1915,1970,"TA","BrkTil","Gd","Y",961,756,1717,7,1,"Y","Abnorml",11.8493977015914,2473,2,35
"5",350,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","Av","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",490,3,836,655,5,14260,"IR1","NoRidge","2Story",8,2000,2000,"Gd","PConc","Ex","Y",1145,1053,2198,9,1,"Y","Normal",12.4292161968444,3343,3.5,276
"6",0,"None","Attchd","Unf","TA","TA","Gd","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","TA","WD",64,2,480,732,6,14115,"IR1","Mitchel","1.5Fin",5,1993,1995,"TA","Wood","Ex","Y",796,566,1362,5,0,"Y","Normal",11.870599909242,2158,2.5,70
"7",186,"Stone","Attchd","RFn","TA","TA","Ex","TA","Av","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",317,2,636,1369,7,10084,"Reg","Somerst","1Story",8,2004,2005,"Gd","PConc","Ex","Y",1694,0,1694,7,1,"Y","Normal",12.6346030265693,3380,3,312
"8",240,"Stone","Attchd","RFn","TA","TA","Gd","TA","Mn","ALQ","SBrkr","RL","HdBoard","HdBoard","TA","WD",216,2,484,859,8,10382,"IR1","NWAmes","2Story",7,1973,1973,"TA","CBlock","Ex","Y",1107,983,2090,7,2,"Y","Normal",12.2060726455302,3197,3.5,439
"9",0,"None","Detchd","Unf","Fa","TA","TA","TA","No","Unf","FuseF","RM","BrkFace","Wd Shng","TA","WD",952,2,468,0,9,6120,"Reg","OldTown","1.5Fin",7,1931,1950,"TA","BrkTil","Gd","Y",1022,752,1774,8,2,"Y","Abnorml",11.7745202026587,2726,2,90
"10",0,"None","Attchd","RFn","Gd","TA","TA","TA","No","GLQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",140,1,205,851,10,7420,"Reg","BrkSide","1.5Unf",5,1939,1950,"TA","BrkTil","Ex","Y",1077,0,1077,5,2,"Y","Normal",11.6784399034478,2068,2,4
